,Steps,Calories,METs,Intensity,WornDay1,WornDay2,WornDay3
2020-09-23,0,1353.8879585266175,0.9,0.0,False,False,False
2020-09-24,0,1353.8879585266175,0.9,0.0,False,False,False
2020-09-25,0,1353.8879585266175,0.9,0.0,False,False,False
2020-09-26,0,1353.8879585266175,0.9,0.0,False,False,False
2020-09-27,0,1353.8879585266175,0.9,0.0,False,False,False
2020-09-28,0,1353.8879585266175,0.9,0.0,False,False,False
2020-09-29,0,1353.8879585266175,0.9,0.0,False,False,False
2020-09-30,0,1353.8879585266175,0.9,0.0,False,False,False
2020-10-01,0,1353.8879585266175,0.9,0.0,False,False,False
2020-10-02,0,1353.8879585266175,0.9,0.0,False,False,False
2020-10-03,0,1353.8879585266175,0.9,0.0,False,False,False
2020-10-04,0,1353.8879585266175,0.9,0.0,False,False,False
2020-10-05,0,1353.8879585266175,0.9,0.0,False,False,False
2020-10-06,0,1353.8879585266175,0.9,0.0,False,False,False
2020-10-07,0,1353.8879585266175,0.9,0.0,False,False,False
2020-10-08,0,1353.8879585266175,0.9,0.0,False,False,False
2020-10-09,0,1353.8879585266175,0.9,0.0,False,False,False
2020-10-10,0,1353.8879585266175,0.9,0.0,False,False,False
2020-10-11,0,1353.8879585266175,0.9,0.0,False,False,False
2020-10-12,0,1353.8879585266175,0.9,0.0,False,False,False
2020-10-13,0,1353.8879585266175,0.9,0.0,False,False,False
2020-10-14,0,1353.8879585266175,0.9,0.0,False,False,False
2020-10-15,0,1353.8879585266175,0.9,0.0,False,False,False
2020-10-16,0,1353.8879585266175,0.9,0.0,False,False,False
2020-10-17,0,1353.8879585266175,0.9,0.0,False,False,False
2020-10-18,0,1353.8879585266175,0.9,0.0,False,False,False
2020-10-19,4019,1641.9652438163812,1.1063888888888889,0.09027777777777778,False,True,True
2020-10-20,7069,1863.4763675928164,1.2659722222222223,0.15347222222222223,False,True,True
2020-10-21,4660,1737.4895672798207,1.1760416666666667,0.1125,False,True,True
2020-10-22,16193,2451.19540202618,1.684861111111111,0.34305555555555556,True,True,True
2020-10-23,8990,1907.0076266527226,1.2934027777777777,0.1909722222222222,False,True,True
2020-10-24,12425,2096.4579278230713,1.427361111111111,0.25277777777777777,False,True,True
2020-10-25,9610,1993.0359296798752,1.3570833333333334,0.1951388888888889,False,True,True
2020-10-26,7661,1875.1348491907165,1.2725,0.16180555555555556,False,True,True
2020-10-27,8934,1939.068449258809,1.317638888888889,0.17152777777777778,False,True,True
2020-10-28,6387,1815.7142080068636,1.2309722222222221,0.15763888888888888,False,True,True
2020-10-29,5514,1810.8251694440885,1.2291666666666667,0.15138888888888888,True,True,True
2020-10-30,7552,1874.6647479534197,1.273125,0.17083333333333334,False,True,True
2020-10-31,5239,1759.0201475620318,1.1914583333333333,0.12708333333333333,False,True,True
2020-11-01,6019,1812.2354689836548,1.2291666666666667,0.1284722222222222,False,True,True
2020-11-02,7365,1855.4846676588104,1.259097222222222,0.15555555555555556,False,True,True
2020-11-03,4527,1681.2656055688908,1.134861111111111,0.10833333333333334,False,True,True
2020-11-04,10662,2050.294112563138,1.3966666666666667,0.20555555555555555,False,True,True
2020-11-05,13202,2291.079338073734,1.5714583333333334,0.32708333333333334,True,True,True
2020-11-06,0,1354.17001855374,0.9002083333333333,0.0,False,False,False
2020-11-07,6898,1860.6557718515442,1.2632638888888887,0.12986111111111112,False,True,True
2020-11-08,12082,2088.748292446141,1.4221527777777778,0.27152777777777776,False,True,True
2020-11-09,78,1362.7258387804093,0.9063888888888889,0.003472222222222222,False,False,False
2020-11-10,10006,2085.9276903867762,1.4252777777777779,0.22083333333333333,True,True,True
2020-11-11,7566,1938.9744324684184,1.3202777777777779,0.1798611111111111,True,True,True
2020-11-12,11326,2160.767613410954,1.47875,0.23958333333333334,True,True,True
2020-11-13,7496,1934.7435295581859,1.318125,0.1736111111111111,True,True,True
2020-11-14,10991,2139.519094467167,1.4627777777777777,0.2701388888888889,True,True,True
2020-11-15,5466,1738.2417278289845,1.1750694444444443,0.13958333333333334,False,True,True
2020-11-16,3769,1637.7343440055902,1.1039583333333334,0.09027777777777778,False,False,True
2020-11-17,7588,1901.7425107955976,1.2932638888888888,0.17708333333333334,True,True,True
2020-11-18,6914,1869.2115896940275,1.2706250000000001,0.1527777777777778,True,True,True
2020-11-19,10279,2028.0113730430646,1.3808333333333334,0.22083333333333333,False,True,True
2020-11-20,7513,1921.2046501636548,1.3074305555555557,0.17222222222222222,True,True,True
2020-11-21,8194,1929.9485104084058,1.3129166666666665,0.1638888888888889,True,True,True
2020-11-22,12166,2142.2456747293513,1.4622916666666665,0.28194444444444444,True,True,True
2020-11-23,6353,1864.6986302137418,1.2679861111111113,0.16666666666666666,True,True,True
2020-11-24,7762,1976.1123324632683,1.347986111111111,0.18958333333333333,True,True,True
2020-11-25,5825,1856.8949710130732,1.2625694444444444,0.14930555555555555,True,True,True
2020-11-26,7646,1923.8372125625654,1.3090972222222221,0.17222222222222222,True,True,True
2020-11-27,7956,1961.4452116489451,1.3369444444444445,0.1909722222222222,True,True,True
2020-11-28,6877,1878.3315292596862,1.2770833333333333,0.15625,True,True,True
2020-11-29,5756,1783.0892678499267,1.2078472222222223,0.12430555555555556,False,True,True
2020-11-30,6553,1874.194651961331,1.2746527777777779,0.16041666666666668,True,True,True
2020-12-01,5469,1805.560049057011,1.2255555555555555,0.14027777777777778,True,True,True
2020-12-02,10444,2116.3901734352153,1.4466666666666665,0.2388888888888889,True,True,True
2020-12-03,8237,1998.1130133867307,1.3634027777777777,0.21388888888888888,True,True,True
2020-12-04,9287,2055.653254866604,1.4043055555555557,0.21458333333333332,True,True,True
2020-12-05,8728,1972.72761189938,1.3430555555555554,0.1798611111111111,True,True,True
2020-12-06,5649,1753.1909070015001,1.1859027777777778,0.125,False,True,True
2020-12-07,6357,1913.683051109318,1.304861111111111,0.1875,True,True,True
2020-12-08,6583,1878.2375105619471,1.2772916666666667,0.16597222222222222,True,True,True
2020-12-09,172,1368.178999066359,0.9102083333333334,0.004861111111111111,False,False,False
2020-12-10,6267,1859.1514484882398,1.2642361111111111,0.16041666666666668,True,True,True
2020-12-11,8927,1992.9419134855311,1.3579166666666667,0.18888888888888888,True,True,True
2020-12-12,7141,1867.4252095222519,1.2682638888888889,0.14375,False,True,True
2020-12-13,10847,2054.90109109879,1.400486111111111,0.22083333333333333,False,True,True
2020-12-14,6229,1833.8600704669996,1.2449999999999999,0.15347222222222223,True,True,True
2020-12-15,5937,1799.7308074235964,1.2202083333333333,0.14375,False,True,True
2020-12-16,8244,1957.5903897285505,1.3336805555555555,0.2076388888888889,True,True,True
2020-12-17,426,1376.264718770987,0.9156944444444446,0.002777777777777778,False,False,False
2020-12-18,9000,2021.2419321537059,1.3790972222222222,0.20069444444444445,True,True,True
2020-12-19,7192,1927.315950870518,1.313611111111111,0.1798611111111111,True,True,True
2020-12-20,5707,1758.7380874157,1.1902083333333333,0.12291666666666666,False,True,True
2020-12-21,8168,2000.745575070385,1.3644444444444443,0.19583333333333333,True,True,True
2020-12-22,8698,1970.7531905174299,1.3420138888888888,0.18958333333333333,True,True,True
2020-12-23,9392,2049.2598958015483,1.3986805555555555,0.2111111111111111,True,True,True
2020-12-24,8604,2004.224310874943,1.3677777777777778,0.2013888888888889,True,True,True
2020-12-25,12545,2245.6676800251043,1.53875,0.2875,True,True,True
2020-12-26,13884,2270.1128748655356,1.5546527777777777,0.2881944444444444,True,True,True
2020-12-27,9323,1924.96544694901,1.3059027777777779,0.20069444444444445,False,True,True
2020-12-28,6780,1931.5468536615413,1.316736111111111,0.1909722222222222,True,True,True
2020-12-29,7012,1955.0518528223076,1.3339583333333334,0.21319444444444444,True,True,True
2020-12-30,3260,1601.9127228260093,1.0781944444444445,0.08472222222222223,False,True,True
2020-12-31,7711,1972.9156521558803,1.3465277777777778,0.19652777777777777,True,True,True
2021-01-01,10689,2077.9160903692255,1.4233333333333333,0.23819444444444443,True,True,True
2021-01-02,11509,2155.8578563928613,1.4797222222222224,0.2701388888888889,True,True,True
2021-01-03,7345,1841.0930525064484,1.2533333333333334,0.16458333333333333,False,True,True
2021-01-04,7058,1894.5843324661266,1.2940972222222222,0.17291666666666666,True,True,True
2021-01-05,6436,1880.9070568084726,1.2847222222222223,0.17222222222222222,True,True,True
2021-01-06,8207,1972.9008173942573,1.3509027777777778,0.21180555555555555,True,True,True
2021-01-07,7412,1910.6972959041605,1.305763888888889,0.19166666666666668,True,True,True
2021-01-08,6380,1812.7080106735248,1.2334722222222223,0.12638888888888888,False,True,True
2021-01-09,9606,2020.583934903146,1.3830555555555555,0.21805555555555556,True,True,True
2021-01-10,9422,1978.6152936220183,1.3514583333333332,0.19166666666666668,False,True,True
2021-01-11,6676,1905.5448940992367,1.303125,0.1951388888888889,True,True,True
2021-01-12,5426,1770.6456931829468,1.2047222222222222,0.13402777777777777,False,True,True
2021-01-13,8436,1984.9855338335049,1.3581944444444445,0.2222222222222222,True,True,True
2021-01-14,7305,1878.002970337869,1.2805555555555554,0.18472222222222223,False,True,True
2021-01-15,8786,2020.864976644517,1.3850694444444445,0.21458333333333332,True,True,True
2021-01-16,6894,1913.6013768911369,1.308263888888889,0.175,True,True,True
2021-01-17,8921,1926.8102507591266,1.3147916666666666,0.1986111111111111,False,True,True
2021-01-18,14490,2326.636496305466,1.6011805555555554,0.3125,True,True,True
2021-01-19,5888,1852.803054332734,1.265763888888889,0.16527777777777777,True,True,True
2021-01-20,4697,1747.5067331790938,1.1885416666666666,0.12916666666666668,False,True,True
2021-01-21,7151,1895.989535212518,1.2945138888888887,0.16875,True,True,True
2021-01-22,8177,1994.4472172260294,1.3664583333333333,0.20694444444444443,True,True,True
2021-01-23,4826,1756.8747317791,1.195,0.14027777777777778,False,True,True
2021-01-24,6072,1776.2664910554906,1.2072916666666667,0.14583333333333334,False,True,True
2021-01-25,5671,1754.4390501976031,1.1919444444444445,0.12777777777777777,False,True,True
2021-01-26,5420,1765.2122541666045,1.200625,0.12361111111111112,False,True,True
2021-01-27,6999,1880.251293063165,1.2831944444444443,0.16180555555555556,True,True,True
2021-01-28,6177,1849.3368939161312,1.2615277777777778,0.15625,True,True,True
2021-01-29,7045,1876.6914550066006,1.2806944444444446,0.15416666666666667,True,True,True
2021-01-30,4303,1683.2422521114368,1.1411111111111112,0.10208333333333333,False,True,True
2021-01-31,9927,1966.0621751546878,1.341736111111111,0.19791666666666666,False,True,True
2021-02-01,6561,1880.1576144695293,1.2841666666666667,0.17152777777777778,True,True,True
2021-02-02,7437,1926.9976165294659,1.3172222222222223,0.18819444444444444,True,True,True
2021-02-03,6246,1857.1123352050793,1.2673611111111112,0.1638888888888889,True,True,True
2021-02-04,8318,1987.7022583484659,1.3607638888888889,0.19930555555555557,True,True,True
2021-02-05,8095,1959.5045741796505,1.3406944444444444,0.19166666666666668,True,True,True
2021-02-06,10552,2104.9896109104166,1.4436805555555556,0.21666666666666667,True,True,True
2021-02-07,6418,1773.1750507354755,1.2047222222222222,0.12638888888888888,False,True,True
2021-02-08,7318,1935.8035349845895,1.324861111111111,0.19166666666666668,True,True,True
2021-02-09,7027,1913.5076954364786,1.307986111111111,0.17916666666666667,True,True,True
2021-02-10,3490,1611.1086504459404,1.0891666666666668,0.08611111111111111,False,True,True
2021-02-11,10537,2036.415852308275,1.3920138888888889,0.22361111111111112,False,True,True
2021-02-12,10783,2139.838575124742,1.469652777777778,0.25555555555555554,True,True,True
2021-02-13,6298,1859.548013210298,1.2693055555555555,0.16111111111111112,True,True,True
2021-02-14,8363,1906.5753746032735,1.3002777777777779,0.15486111111111112,False,True,True
2021-02-15,6738,1914.0697729587566,1.3095138888888889,0.1840277777777778,True,True,True
2021-02-16,7237,1915.2876132726685,1.3090277777777777,0.19027777777777777,False,True,True
2021-02-17,6772,1884.8416135311138,1.2869444444444444,0.16666666666666666,True,True,True
2021-02-18,6590,1883.4364141225824,1.2863194444444443,0.17222222222222222,True,True,True
2021-02-19,6284,1780.7631310224551,1.2099305555555555,0.1388888888888889,False,True,True
2021-02-20,8535,1983.3929724693312,1.3572916666666666,0.19375,True,True,True
2021-02-21,6413,1789.6627292633077,1.2171527777777778,0.1361111111111111,False,True,True
2021-02-22,9022,2029.2961733341228,1.3902083333333335,0.21180555555555555,True,True,True
2021-02-23,5570,1772.425612211229,1.205625,0.13402777777777777,False,True,True
2021-02-24,3157,1579.4448068141965,1.0660416666666668,0.08541666666666667,False,False,True
2021-02-25,4481,1687.6452113389987,1.1440277777777779,0.10347222222222222,False,True,True
2021-02-26,49,1354.7064846754106,0.9041666666666667,0.0020833333333333333,False,False,False
2021-02-27,10739,2083.6305713653574,1.427013888888889,0.20972222222222223,True,True,True
2021-02-28,8144,1883.249051928522,1.2834027777777777,0.18611111111111112,False,True,True
2021-03-01,3563,1587.8760066032437,1.07125,0.059027777777777776,False,False,True
2021-03-02,5665,1786.1965714693088,1.2153472222222221,0.13958333333333334,False,True,True
2021-03-03,6871,1883.811131834985,1.2863194444444443,0.1625,True,True,True
